Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testaddUserToGroup,Magic Number,The method contains a magic number: 2,116
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testaddUserToGroup,Magic Number,The method contains a magic number: 2,116
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testAddUserToGroup_UserDoesNotExist,Magic Number,The method contains a magic number: 2,145
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testAddUserToGroup_UserDoesNotExist,Magic Number,The method contains a magic number: 2,145
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testDeleteUserFromGroup,Magic Number,The method contains a magic number: 2,159
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testDeleteUserFromGroup,Magic Number,The method contains a magic number: 2,159
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testDeleteUserFromGroup,Magic Number,The method contains a magic number: 2,159
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testDeleteUserFromGroup_UserDoesNotExist,Magic Number,The method contains a magic number: 2,190
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testDeleteUserFromGroup_UserDoesNotExist,Magic Number,The method contains a magic number: 2,190
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testDeleteUserFromGroup_UserDoesNotExist,Magic Number,The method contains a magic number: 2,190
facebook-integration,com.example.facebook_integration.UnitTests,PostServiceTest,setup,Magic Number,The method contains a magic number: 2L,30
facebook-integration,com.example.facebook_integration.UnitTests,PostServiceTest,setup,Magic Number,The method contains a magic number: 2,30
facebook-integration,com.example.facebook_integration.UnitTests,TopicServiceTest,setup,Magic Number,The method contains a magic number: 2l,30
facebook-integration,com.example.facebook_integration.UnitTests,CategoryServiceTest,setup,Magic Number,The method contains a magic number: 2,31
facebook-integration,com.example.facebook_integration.UnitTests,FriendServiceTest,setUp,Magic Number,The method contains a magic number: 2,39
facebook-integration,com.example.facebook_integration.UnitTests,FriendRequestServiceTest,testSendRequest_Success,Magic Number,The method contains a magic number: 2,38
facebook-integration,com.example.facebook_integration.UnitTests,FriendRequestServiceTest,testSendRequest_Success,Magic Number,The method contains a magic number: 2,38
facebook-integration,com.example.facebook_integration.UnitTests,FriendRequestServiceTest,testSendRequest_SenderNotFound,Magic Number,The method contains a magic number: 2,61
facebook-integration,com.example.facebook_integration.UnitTests,FriendRequestServiceTest,testSendRequest_ReceiverNotFound,Magic Number,The method contains a magic number: 2,76
facebook-integration,com.example.facebook_integration.UnitTests,FriendRequestServiceTest,testSendRequest_ReceiverNotFound,Magic Number,The method contains a magic number: 2,76
facebook-integration,com.example.facebook_integration.UnitTests,FriendRequestServiceTest,testDeleteFriend_Success,Magic Number,The method contains a magic number: 2,339
facebook-integration,com.example.facebook_integration.UnitTests,FriendRequestServiceTest,testDeleteFriend_Success,Magic Number,The method contains a magic number: 2,339
facebook-integration,com.example.facebook_integration.UnitTests,FriendRequestServiceTest,testDeleteFriend_UserNotFound,Magic Number,The method contains a magic number: 2,361
facebook-integration,com.example.facebook_integration.UnitTests,FriendRequestServiceTest,testDeleteFriend_FriendNotFound,Magic Number,The method contains a magic number: 2,376
facebook-integration,com.example.facebook_integration.UnitTests,FriendRequestServiceTest,testDeleteFriend_FriendNotFound,Magic Number,The method contains a magic number: 2,376
