Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
facebook-integration,com.example.facebook_integration,FacebookIntegrationApplicationTests,contextLoads,2,1,0,9,1,,
facebook-integration,com.example.facebook_integration,WebConfig,addCorsMappings,3,1,1,11,0,,
facebook-integration,com.example.facebook_integration,WebSocketConfig,configureMessageBroker,4,1,1,13,0,,
facebook-integration,com.example.facebook_integration,WebSocketConfig,registerStompEndpoints,3,1,1,19,0,,
facebook-integration,com.example.facebook_integration,FacebookIntegrationApplication,main,3,1,1,9,0,,
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testCreateGroup,17,1,0,33,1,com.example.facebook_integration.model.User,com.example.facebook_integration.model.User; com.example.facebook_integration.service.Implementations.GroupServiceImpl; com.example.facebook_integration.model.UserGroup
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testCreateGroup_GroupAlreadyExists,13,1,0,56,1,com.example.facebook_integration.model.UserGroup,com.example.facebook_integration.model.UserGroup
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testDeleteGroup,21,1,0,72,1,com.example.facebook_integration.model.UserGroup,com.example.facebook_integration.model.UserGroup; com.example.facebook_integration.model.User; com.example.facebook_integration.service.Implementations.GroupServiceImpl
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testDeleteGroup_GroupNotFound,7,1,0,105,1,,
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testaddUserToGroup,23,1,0,116,1,com.example.facebook_integration.model.UserGroup,com.example.facebook_integration.model.UserGroup; com.example.facebook_integration.model.User; com.example.facebook_integration.service.Implementations.GroupServiceImpl
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testAddUserToGroup_UserDoesNotExist,11,1,0,145,1,com.example.facebook_integration.model.UserGroup,com.example.facebook_integration.model.UserGroup
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testDeleteUserFromGroup,24,1,0,159,1,com.example.facebook_integration.service.Implementations.GroupServiceImpl,com.example.facebook_integration.service.Implementations.GroupServiceImpl; com.example.facebook_integration.model.UserGroup; com.example.facebook_integration.model.User
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,testDeleteUserFromGroup_UserDoesNotExist,23,1,0,190,1,com.example.facebook_integration.model.User,com.example.facebook_integration.model.User; com.example.facebook_integration.model.UserGroup
facebook-integration,com.example.facebook_integration.UnitTests,PostServiceTest,setup,11,1,0,30,0,com.example.facebook_integration.model.Post,com.example.facebook_integration.model.Post
facebook-integration,com.example.facebook_integration.UnitTests,PostServiceTest,testSavePost,6,1,0,44,1,com.example.facebook_integration.service.Implementations.PostServiceImpl,com.example.facebook_integration.service.Implementations.PostServiceImpl
facebook-integration,com.example.facebook_integration.UnitTests,PostServiceTest,testGetAllPosts,7,1,0,54,1,com.example.facebook_integration.service.Implementations.PostServiceImpl,com.example.facebook_integration.service.Implementations.PostServiceImpl
facebook-integration,com.example.facebook_integration.UnitTests,PostServiceTest,testGetAllPostsEmpty,6,1,0,65,1,com.example.facebook_integration.service.Implementations.PostServiceImpl,com.example.facebook_integration.service.Implementations.PostServiceImpl
facebook-integration,com.example.facebook_integration.UnitTests,TopicServiceTest,setup,9,1,0,30,0,com.example.facebook_integration.model.Topic,com.example.facebook_integration.model.Topic
