Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
facebook-integration,com.example.facebook_integration,FacebookIntegrationApplicationTests,0,0,1,0,4,1,0,0,-1.0,0,0,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/FacebookIntegrationApplicationTests.java,6
facebook-integration,com.example.facebook_integration,WebConfig,0,0,1,1,5,1,0,0,-1.0,0,0,/Users/jacobdomingo/Group19/backend/facebook-integration/src/main/java/com/example/facebook_integration/WebConfig.java,8
facebook-integration,com.example.facebook_integration,WebSocketConfig,0,0,2,2,9,2,0,0,-1.0,0,0,/Users/jacobdomingo/Group19/backend/facebook-integration/src/main/java/com/example/facebook_integration/WebSocketConfig.java,9
facebook-integration,com.example.facebook_integration,FacebookIntegrationApplication,0,0,1,1,5,1,0,0,-1.0,0,0,/Users/jacobdomingo/Group19/backend/facebook-integration/src/main/java/com/example/facebook_integration/FacebookIntegrationApplication.java,6
facebook-integration,com.example.facebook_integration.UnitTests,GroupServiceTest,3,0,8,8,144,8,0,0,0.0,0,5,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/UnitTests/GroupServiceTest.java,20
facebook-integration,com.example.facebook_integration.UnitTests,PostServiceTest,4,0,4,4,36,4,0,0,0.0,0,3,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/UnitTests/PostServiceTest.java,19
facebook-integration,com.example.facebook_integration.UnitTests,TopicServiceTest,4,0,6,6,46,6,0,0,0.0,0,3,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/UnitTests/TopicServiceTest.java,19
facebook-integration,com.example.facebook_integration.UnitTests,CategoryServiceTest,4,0,6,6,47,6,0,0,0.0,0,3,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/UnitTests/CategoryServiceTest.java,20
facebook-integration,com.example.facebook_integration.UnitTests,FriendServiceTest,6,0,10,10,87,10,0,0,0.0,0,6,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/UnitTests/FriendServiceTest.java,24
facebook-integration,com.example.facebook_integration.UnitTests,FriendRequestServiceTest,3,0,21,0,209,21,0,0,0.09523809523809523,0,6,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/UnitTests/FriendRequestServiceTest.java,22
facebook-integration,com.example.facebook_integration.UnitTests,JoinRequestServiceTest,4,0,10,10,96,10,0,0,0.2,0,7,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/UnitTests/JoinRequestServiceTest.java,23
facebook-integration,com.example.facebook_integration.UnitTests,UserServiceTest,3,0,26,0,228,26,0,0,0.07692307692307693,0,4,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/UnitTests/UserServiceTest.java,22
facebook-integration,com.example.facebook_integration.IntegrationTests,FriendReqControllerIntegrationTest,4,0,11,6,126,11,0,0,0.0,0,4,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/IntegrationTests/FriendReqControllerIntegrationTest.java,21
facebook-integration,com.example.facebook_integration.IntegrationTests,FriendReqRepoIntegrationTest,2,0,11,8,90,11,0,0,0.0,0,3,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/IntegrationTests/FriendReqRepoIntegrationTest.java,18
facebook-integration,com.example.facebook_integration.IntegrationTests,PostControllerIntegrationTest,3,0,4,4,33,4,0,0,0.0,0,2,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/IntegrationTests/PostControllerIntegrationTest.java,31
facebook-integration,com.example.facebook_integration.IntegrationTests,UserControllerIntegrationTest,3,0,5,4,56,5,0,0,0.0,0,2,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/IntegrationTests/UserControllerIntegrationTest.java,21
facebook-integration,com.example.facebook_integration.IntegrationTests,JoinRequestControllerIntegrationTest,5,0,10,6,100,10,0,0,0.0,0,6,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/IntegrationTests/JoinRequestControllerIntegrationTest.java,24
facebook-integration,com.example.facebook_integration.IntegrationTests,CategoryControllerTest,3,0,6,5,42,6,0,0,0.0,0,2,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/IntegrationTests/CategoryControllerTest.java,27
facebook-integration,com.example.facebook_integration.IntegrationTests,UserRepositoryIntegrationTest,1,0,2,2,27,2,0,0,0.0,0,2,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/IntegrationTests/UserRepositoryIntegrationTest.java,14
facebook-integration,com.example.facebook_integration.IntegrationTests,FriendControllerTest,5,0,8,8,65,8,0,0,0.0,0,3,/Users/jacobdomingo/Group19/backend/facebook-integration/src/test/java/com/example/facebook_integration/IntegrationTests/FriendControllerTest.java,28
facebook-integration,com.example.facebook_integration.repository,FriendRepository,0,0,2,0,4,2,0,0,-1.0,2,0,/Users/jacobdomingo/Group19/backend/facebook-integration/src/main/java/com/example/facebook_integration/repository/FriendRepository.java,9
facebook-integration,com.example.facebook_integration.repository,JoinRequestRepository,0,0,6,0,8,6,0,0,-1.0,3,1,/Users/jacobdomingo/Group19/backend/facebook-integration/src/main/java/com/example/facebook_integration/repository/JoinRequestRepository.java,9
facebook-integration,com.example.facebook_integration.repository,PostRepository,0,0,0,0,2,0,0,0,-1.0,2,0,/Users/jacobdomingo/Group19/backend/facebook-integration/src/main/java/com/example/facebook_integration/repository/PostRepository.java,7
facebook-integration,com.example.facebook_integration.repository,CategoryOfDayRepository,0,0,1,0,3,1,0,0,-1.0,2,0,/Users/jacobdomingo/Group19/backend/facebook-integration/src/main/java/com/example/facebook_integration/repository/CategoryOfDayRepository.java,8
facebook-integration,com.example.facebook_integration.repository,TopicRepository,0,0,1,0,3,1,0,0,-1.0,2,1,/Users/jacobdomingo/Group19/backend/facebook-integration/src/main/java/com/example/facebook_integration/repository/TopicRepository.java,6
